"spider","speed","treatment"
1,1.25,"before"
2,2.94,"before"
3,2.38,"before"
4,3.09,"before"
5,3.41,"before"
6,3,"before"
7,2.31,"before"
8,2.93,"before"
9,2.98,"before"
10,3.55,"before"
11,2.84,"before"
12,1.64,"before"
13,3.22,"before"
14,2.87,"before"
15,2.37,"before"
16,1.91,"before"
1,2.4,"after"
2,3.5,"after"
3,4.49,"after"
4,3.17,"after"
5,5.26,"after"
6,3.22,"after"
7,2.32,"after"
8,3.31,"after"
9,3.7,"after"
10,4.7,"after"
11,4.94,"after"
12,5.06,"after"
13,3.22,"after"
14,3.52,"after"
15,5.45,"after"
16,3.4,"after"
