"","pclass","survived","nationality","name","age","fare","cabin","embarked","boat","body","gender"
"1",3,"died","American","Abbing, Mr. Anthony",42,7.55,NA,"S",NA,NA,"M"
"2",3,"died","American","Abbott, Master. Eugene Joseph",13,20.25,NA,"S",NA,NA,"M"
"3",3,"died","American","Abbott, Mr. Rossmore Edward",16,20.25,NA,"S",NA,190,"M"
"4",3,"survived","American","Abbott, Mrs. Stanton (Rosa Hunt)",35,20.25,NA,"S","A",NA,"F"
"5",3,"survived","other","Abelseth, Miss. Karen Marie",16,7.65,NA,"S","16",NA,"F"
"6",3,"survived","American","Abelseth, Mr. Olaus Jorgensen",25,7.65,"F G63","S","A",NA,"M"
"7",2,"died","other","Abelson, Mr. Samuel",30,24,NA,"C",NA,NA,"M"
"8",2,"survived","other","Abelson, Mrs. Samuel (Hannah Wizosky)",28,24,NA,"C","10",NA,"F"
"9",3,"survived","other","Abrahamsson, Mr. Abraham August Johannes",20,7.925,NA,"S","15",NA,"M"
"10",3,"survived","other","Abrahim, Mrs. Joseph (Sophie Halaut Easu)",18,7.2292,NA,"C","C",NA,"F"
"11",3,"died","other","Adahl, Mr. Mauritz Nils Martin",30,7.25,NA,"S",NA,72,"M"
"12",3,"died","British","Adams, Mr. John",26,8.05,NA,"S",NA,103,"M"
"13",3,"died","other","Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40,9.475,NA,"S",NA,NA,"F"
"14",3,"survived","British","Aks, Master. Philip Frank",0.8333,9.35,NA,"S","11",NA,"M"
"15",3,"survived","other","Aks, Mrs. Sam (Leah Rosen)",18,9.35,NA,"S","13",NA,"F"
"16",3,"survived","other","Albimona, Mr. Nassef Cassem",26,18.7875,NA,"C","15",NA,"M"
"17",2,"died","American","Aldworth, Mr. Charles Augustus",30,13,NA,"S",NA,NA,"M"
"18",3,"died","British","Alexander, Mr. William",26,7.8875,NA,"S",NA,NA,"M"
"19",3,"died","other","Alhomaki, Mr. Ilmari Rudolf",20,7.925,NA,"S",NA,NA,"M"
"20",3,"died","other","Ali, Mr. Ahmed",24,7.05,NA,"S",NA,NA,"M"
"21",3,"died","other","Ali, Mr. William",25,7.05,NA,"S",NA,79,"M"
"22",1,"survived","American","Allen, Miss. Elisabeth Walton",29,211.3375,"B5","S","2",NA,"F"
"23",3,"died","British","Allen, Mr. William Henry",35,8.05,NA,"S",NA,NA,"M"
"24",1,"survived","other","Allison, Master. Hudson Trevor",0.9167,151.55,"C22 C26","S","11",NA,"M"
"25",1,"died","other","Allison, Miss. Helen Loraine",2,151.55,"C22 C26","S",NA,NA,"F"
"26",1,"died","other","Allison, Mr. Hudson Joshua Creighton",30,151.55,"C22 C26","S",NA,135,"M"
"27",1,"died","other","Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",25,151.55,"C22 C26","S",NA,NA,"F"
"28",3,"died","British","Allum, Mr. Owen George",18,8.3,NA,"S",NA,259,"M"
"29",3,"survived","other","Andersen-Jensen, Miss. Carla Christine Nielsine",19,7.8542,NA,"S","16",NA,"F"
"30",3,"died","other","Andersen, Mr. Albert Karvin",32,22.525,NA,"S",NA,260,"M"
"31",1,"survived","American","Anderson, Mr. Harry",48,26.55,"E12","S","3",NA,"M"
"32",3,"died","other","Andersson, Master. Sigvard Harald Elias",4,31.275,NA,"S",NA,NA,"M"
"33",3,"died","other","Andersson, Miss. Ebba Iris Alfrida",6,31.275,NA,"S",NA,NA,"F"
"34",3,"died","other","Andersson, Miss. Ellis Anna Maria",2,31.275,NA,"S",NA,NA,"F"
"35",3,"survived","other","Andersson, Miss. Erna Alexandra",17,7.925,NA,"S","D",NA,"F"
"36",3,"died","other","Andersson, Miss. Ida Augusta Margareta",38,7.775,NA,"S",NA,NA,"F"
"37",3,"died","other","Andersson, Miss. Ingeborg Constanzia",9,31.275,NA,"S",NA,NA,"F"
"38",3,"died","other","Andersson, Miss. Sigrid Elisabeth",11,31.275,NA,"S",NA,NA,"F"
"39",3,"died","other","Andersson, Mr. Anders Johan",39,31.275,NA,"S",NA,NA,"M"
"40",3,"survived","other","Andersson, Mr. August Edvard (""Wennerstrom"")",27,7.7958,NA,"S","A",NA,"M"
"41",3,"died","other","Andersson, Mr. Johan Samuel",26,7.775,NA,"S",NA,NA,"M"
"42",3,"died","other","Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",39,31.275,NA,"S",NA,NA,"F"
"43",3,"died","other","Andreasson, Mr. Paul Edvin",20,7.8542,NA,"S",NA,NA,"M"
"44",2,"died","other","Andrew, Mr. Edgardo Samuel",18,11.5,NA,"S",NA,NA,"M"
"45",2,"died","British","Andrew, Mr. Frank Thomas",25,10.5,NA,"S",NA,NA,"M"
"46",1,"survived","American","Andrews, Miss. Kornelia Theodosia",63,77.9583,"D7","S","10",NA,"F"
"47",1,"died","other","Andrews, Mr. Thomas Jr",39,0,"A36","S",NA,NA,"M"
"48",3,"died","other","Angheloff, Mr. Minko",26,7.8958,NA,"S",NA,NA,"M"
"49",2,"died","British","Angle, Mr. William A",34,26,NA,"S",NA,NA,"M"
"50",2,"survived","British","Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",36,26,NA,"S","11",NA,"F"
"51",1,"survived","other","Appleton, Mrs. Edward Dale (Charlotte Lamson)",53,51.4792,"C101","S","D",NA,"F"
"52",3,"died","other","Arnold-Franchi, Mr. Josef",25,17.8,NA,"S",NA,NA,"M"
"53",3,"died","other","Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18,17.8,NA,"S",NA,NA,"F"
"54",3,"died","other","Aronsson, Mr. Ernst Axel Algot",24,7.775,NA,"S",NA,NA,"M"
"55",1,"died","other","Artagaveytia, Mr. Ramon",71,49.5042,NA,"C",NA,22,"M"
"56",2,"died","American","Ashby, Mr. John",57,13,NA,"S",NA,NA,"M"
"57",3,"died","other","Asim, Mr. Adola",35,7.05,NA,"S",NA,NA,"M"
"58",3,"died","other","Asplund, Master. Carl Edgar",5,31.3875,NA,"S",NA,NA,"M"
"59",3,"died","other","Asplund, Master. Clarence Gustaf Hugo",9,31.3875,NA,"S",NA,NA,"M"
"60",3,"survived","other","Asplund, Master. Edvin Rojj Felix",3,31.3875,NA,"S","15",NA,"M"
"61",3,"died","other","Asplund, Master. Filip Oscar",13,31.3875,NA,"S",NA,NA,"M"
"62",3,"survived","other","Asplund, Miss. Lillian Gertrud",5,31.3875,NA,"S","15",NA,"F"
"63",3,"died","other","Asplund, Mr. Carl Oscar Vilhelm Gustafsson",40,31.3875,NA,"S",NA,142,"M"
"64",3,"survived","other","Asplund, Mr. Johan Charles",23,7.7958,NA,"S","13",NA,"M"
"65",3,"survived","other","Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38,31.3875,NA,"S","15",NA,"F"
"66",3,"survived","other","Assaf Khalil, Mrs. Mariana (""Miriam"")",45,7.225,NA,"C","C",NA,"F"
"67",3,"died","other","Assaf, Mr. Gerios",21,7.225,NA,"C",NA,NA,"M"
"68",3,"died","other","Assam, Mr. Ali",23,7.05,NA,"S",NA,NA,"M"
"69",1,"died","American","Astor, Col. John Jacob",47,227.525,"C62 C64","C",NA,124,"M"
"70",1,"survived","American","Astor, Mrs. John Jacob (Madeleine Talmadge Force)",18,227.525,"C62 C64","C","4",NA,"F"
"71",3,"died","other","Attalah, Miss. Malake",17,14.4583,NA,"C",NA,NA,"F"
"72",3,"died","other","Attalah, Mr. Sleiman",30,7.225,NA,"C",NA,NA,"M"
"73",1,"survived","other","Aubart, Mme. Leontine Pauline",24,69.3,"B35","C","9",NA,"F"
"74",3,"died","other","Augustsson, Mr. Albert",23,7.8542,NA,"S",NA,NA,"M"
"75",3,"survived","other","Ayoub, Miss. Banoura",13,7.2292,NA,"C","C",NA,"F"
"76",3,"died","other","Baccos, Mr. Raffull",20,7.225,NA,"C",NA,NA,"M"
"77",3,"died","other","Backstrom, Mr. Karl Alfred",32,15.85,NA,"S","D",NA,"M"
"78",3,"survived","other","Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33,15.85,NA,"S",NA,NA,"F"
"79",3,"survived","other","Baclini, Miss. Eugenie",0.75,19.2583,NA,"C","C",NA,"F"
"80",3,"survived","other","Baclini, Miss. Helene Barbara",0.75,19.2583,NA,"C","C",NA,"F"
