fishID,infection,bird_predation
1,uninfected,eaten
2,lightly,eaten
3,lightly,eaten
4,lightly,eaten
5,lightly,eaten
6,lightly,eaten
7,lightly,eaten
8,lightly,eaten
9,lightly,eaten
10,lightly,eaten
11,lightly,eaten
12,highly,eaten
13,highly,eaten
14,highly,eaten
15,highly,eaten
16,highly,eaten
17,highly,eaten
18,highly,eaten
19,highly,eaten
20,highly,eaten
21,highly,eaten
22,highly,eaten
23,highly,eaten
24,highly,eaten
25,highly,eaten
26,highly,eaten
27,highly,eaten
28,highly,eaten
29,highly,eaten
30,highly,eaten
31,highly,eaten
32,highly,eaten
33,highly,eaten
34,highly,eaten
35,highly,eaten
36,highly,eaten
37,highly,eaten
38,highly,eaten
39,highly,eaten
40,highly,eaten
41,highly,eaten
42,highly,eaten
43,highly,eaten
44,highly,eaten
45,highly,eaten
46,highly,eaten
47,highly,eaten
48,highly,eaten
49,uninfected,not eaten
50,uninfected,not eaten
51,uninfected,not eaten
52,uninfected,not eaten
53,uninfected,not eaten
54,uninfected,not eaten
55,uninfected,not eaten
56,uninfected,not eaten
57,uninfected,not eaten
58,uninfected,not eaten
59,uninfected,not eaten
60,uninfected,not eaten
61,uninfected,not eaten
62,uninfected,not eaten
63,uninfected,not eaten
64,uninfected,not eaten
65,uninfected,not eaten
66,uninfected,not eaten
67,uninfected,not eaten
68,uninfected,not eaten
69,uninfected,not eaten
70,uninfected,not eaten
71,uninfected,not eaten
72,uninfected,not eaten
73,uninfected,not eaten
74,uninfected,not eaten
75,uninfected,not eaten
76,uninfected,not eaten
77,uninfected,not eaten
78,uninfected,not eaten
79,uninfected,not eaten
80,uninfected,not eaten
81,uninfected,not eaten
82,uninfected,not eaten
83,uninfected,not eaten
84,uninfected,not eaten
85,uninfected,not eaten
86,uninfected,not eaten
87,uninfected,not eaten
88,uninfected,not eaten
89,uninfected,not eaten
90,uninfected,not eaten
91,uninfected,not eaten
92,uninfected,not eaten
93,uninfected,not eaten
94,uninfected,not eaten
95,uninfected,not eaten
96,uninfected,not eaten
97,uninfected,not eaten
98,lightly,not eaten
99,lightly,not eaten
100,lightly,not eaten
101,lightly,not eaten
102,lightly,not eaten
103,lightly,not eaten
104,lightly,not eaten
105,lightly,not eaten
106,lightly,not eaten
107,lightly,not eaten
108,lightly,not eaten
109,lightly,not eaten
110,lightly,not eaten
111,lightly,not eaten
112,lightly,not eaten
113,lightly,not eaten
114,lightly,not eaten
115,lightly,not eaten
116,lightly,not eaten
117,lightly,not eaten
118,lightly,not eaten
119,lightly,not eaten
120,lightly,not eaten
121,lightly,not eaten
122,lightly,not eaten
123,lightly,not eaten
124,lightly,not eaten
125,lightly,not eaten
126,lightly,not eaten
127,lightly,not eaten
128,lightly,not eaten
129,lightly,not eaten
130,lightly,not eaten
131,lightly,not eaten
132,lightly,not eaten
133,highly,not eaten
134,highly,not eaten
135,highly,not eaten
136,highly,not eaten
137,highly,not eaten
138,highly,not eaten
139,highly,not eaten
140,highly,not eaten
141,highly,not eaten
