CV,plant.ID,percent.damage
TGY,plant1,2.21
TGY,plant1,3.2
TGY,plant1,1.89
TGY,plant1,1.63
TGY,plant1,1.86
TGY,plant1,2.97
TGY,plant1,2.4
TGY,plant1,0.64
TGY,plant1,0.5
TGY,plant1,1.25
TGY,plant1,0.5
TGY,plant1,3.57
TGY,plant1,1.85
TGY,plant1,2.54
TGY,plant1,0.53
TGY,plant1,1.94
TGY,plant1,1.79
TGY,plant1,0.44
TGY,plant1,1.16
TGY,plant1,1.66
TGY,plant2,2.46
TGY,plant2,1.19
TGY,plant2,1.22
TGY,plant2,4
TGY,plant2,2.69
TGY,plant2,0.9
TGY,plant2,0.94
TGY,plant2,2.14
TGY,plant2,0.77
TGY,plant2,0.84
TGY,plant2,0.73
TGY,plant2,1.85
TGY,plant2,1.34
TGY,plant2,1.8
TGY,plant2,2.21
TGY,plant2,0.53
TGY,plant2,1.19
TGY,plant2,1.52
TGY,plant2,0.87
TGY,plant2,1.58
TGY,plant3,0.19
TGY,plant3,1.66
TGY,plant3,1.41
TGY,plant3,1.78
TGY,plant3,1.1
TGY,plant3,2.56
TGY,plant3,2.05
TGY,plant3,0.76
TGY,plant3,2.71
TGY,plant3,1.11
TGY,plant3,1.9
TGY,plant3,1.33
TGY,plant3,2.71
TGY,plant3,1.53
TGY,plant3,2.68
TGY,plant3,3.69
TGY,plant3,0.56
TGY,plant3,2.37
TGY,plant3,1.38
TGY,plant3,0.32
TGY,plant4,1.92
TGY,plant4,1.98
TGY,plant4,2.25
TGY,plant4,0.79
TGY,plant4,1.51
TGY,plant4,1.77
TGY,plant4,1.32
TGY,plant4,0.24
TGY,plant4,0.77
TGY,plant4,0.78
TGY,plant4,0.69
TGY,plant4,1.09
TGY,plant4,0.31
TGY,plant4,0.84
TGY,plant4,1.72
TGY,plant4,3.58
TGY,plant4,2.13
TGY,plant4,1.65
TGY,plant4,0.52
TGY,plant4,0.97
TGY,plant5,1.01
TGY,plant5,0.09
TGY,plant5,1.63
TGY,plant5,1.59
TGY,plant5,0.32
TGY,plant5,3.26
TGY,plant5,1.68
TGY,plant5,1.75
TGY,plant5,2.17
TGY,plant5,0.88
TGY,plant5,0.67
TGY,plant5,2.7
TGY,plant5,1.73
TGY,plant5,3.1
TGY,plant5,2.21
TGY,plant5,1.85
TGY,plant5,2.55
TGY,plant5,2.03
TGY,plant5,3.02
TGY,plant5,0.59
LJ,plant1,1.67
LJ,plant1,1.71
LJ,plant1,0.5
LJ,plant1,0.82
LJ,plant1,1.67
LJ,plant1,0.93
LJ,plant1,2.01
LJ,plant1,0.67
LJ,plant1,1.7
LJ,plant1,1.54
LJ,plant1,1.01
LJ,plant1,0.92
LJ,plant1,1.3
LJ,plant1,0.68
LJ,plant1,0.24
LJ,plant1,0.74
LJ,plant1,1.86
LJ,plant1,0.12
LJ,plant1,1.89
LJ,plant1,0.39
LJ,plant2,2.32
LJ,plant2,0.5
LJ,plant2,0.65
LJ,plant2,0.42
LJ,plant2,0.01
LJ,plant2,0.89
LJ,plant2,0.52
LJ,plant2,1.67
LJ,plant2,0.36
LJ,plant2,0.34
LJ,plant2,0.62
LJ,plant2,0.57
LJ,plant2,1.13
LJ,plant2,0.16
LJ,plant2,0.41
LJ,plant2,1.27
LJ,plant2,1.67
LJ,plant2,0.67
LJ,plant2,1.82
LJ,plant2,0.1
LJ,plant3,0.43
LJ,plant3,0.55
LJ,plant3,0.05
LJ,plant3,1.49
LJ,plant3,0.58
LJ,plant3,0.92
LJ,plant3,0.61
LJ,plant3,1.98
LJ,plant3,0.91
LJ,plant3,0.23
LJ,plant3,1.17
LJ,plant3,0.13
LJ,plant3,0.82
LJ,plant3,0.19
LJ,plant3,0.02
LJ,plant3,0.36
LJ,plant3,0.33
LJ,plant3,0.82
LJ,plant3,0.95
LJ,plant3,2.46
LJ,plant4,0.96
LJ,plant4,0.86
LJ,plant4,0.05
LJ,plant4,0.43
LJ,plant4,0.73
LJ,plant4,0.39
LJ,plant4,1.06
LJ,plant4,1.13
LJ,plant4,0.42
LJ,plant4,0.79
LJ,plant4,0.43
LJ,plant4,0.37
LJ,plant4,1.6
LJ,plant4,0.48
LJ,plant4,0.36
LJ,plant4,0.96
LJ,plant4,0.53
LJ,plant4,0.22
LJ,plant4,1.38
LJ,plant4,1.72
LJ,plant5,0.51
LJ,plant5,0.03
LJ,plant5,1.66
LJ,plant5,1.27
LJ,plant5,1.54
LJ,plant5,0.7
LJ,plant5,0.35
LJ,plant5,0.57
LJ,plant5,1.93
LJ,plant5,1.08
LJ,plant5,0.68
LJ,plant5,0.07
LJ,plant5,0.44
LJ,plant5,0.7
LJ,plant5,0.65
LJ,plant5,0.53
LJ,plant5,1.11
LJ,plant5,1.48
LJ,plant5,0.15
LJ,plant5,0.64
