leaf.num,plant1,plant2,plant3,plant4,plant5
1,1.67,2.32,0.43,0.96,0.51
2,1.71,0.5,0.55,0.86,0.03
3,0.5,0.65,0.05,0.05,1.66
4,0.82,0.42,1.49,0.43,1.27
5,1.67,0.01,0.58,0.73,1.54
6,0.93,0.89,0.92,0.39,0.7
7,2.01,0.52,0.61,1.06,0.35
8,0.67,1.67,1.98,1.13,0.57
9,1.7,0.36,0.91,0.42,1.93
10,1.54,0.34,0.23,0.79,1.08
11,1.01,0.62,1.17,0.43,0.68
12,0.92,0.57,0.13,0.37,0.07
13,1.3,1.13,0.82,1.6,0.44
14,0.68,0.16,0.19,0.48,0.7
15,0.24,0.41,0.02,0.36,0.65
16,0.74,1.27,0.36,0.96,0.53
17,1.86,1.67,0.33,0.53,1.11
18,0.12,0.67,0.82,0.22,1.48
19,1.89,1.82,0.95,1.38,0.15
20,0.39,0.1,2.46,1.72,0.64
