leaf.num,plant1,plant2,plant3,plant4,plant5
1,2.21,2.46,0.19,1.92,1.01
2,3.2,1.19,1.66,1.98,0.09
3,1.89,1.22,1.41,2.25,1.63
4,1.63,4,1.78,0.79,1.59
5,1.86,2.69,1.1,1.51,0.32
6,2.97,0.9,2.56,1.77,3.26
7,2.4,0.94,2.05,1.32,1.68
8,0.64,2.14,0.76,0.24,1.75
9,0.5,0.77,2.71,0.77,2.17
10,1.25,0.84,1.11,0.78,0.88
11,0.5,0.73,1.9,0.69,0.67
12,3.57,1.85,1.33,1.09,2.7
13,1.85,1.34,2.71,0.31,1.73
14,2.54,1.8,1.53,0.84,3.1
15,0.53,2.21,2.68,1.72,2.21
16,1.94,0.53,3.69,3.58,1.85
17,1.79,1.19,0.56,2.13,2.55
18,0.44,1.52,2.37,1.65,2.03
19,1.16,0.87,1.38,0.52,3.02
20,1.66,1.58,0.32,0.97,0.59
