TreeID,Genus,CommonName,diameter,Location
1633,Acer,Norway maple,5,Park Tree
10972,Acer,Red Maple,6.150000095,Park Tree
31292,Acer,Norway maple,20,Park Tree
2765,Acer,Norway maple,8,Park Tree
2799,Acer,Norway maple,22,Park Tree
54620,Acer,boxelder maple,8,Park Tree
53325,Acer,Norway maple,11,Park Tree
25366,Acer,Red Maple,19,Park Tree
2797,Acer,Norway maple,20,Park Tree
11351,Acer,Norway maple,12.55000019,Park Tree
52757,Acer,Norway maple,20.64999962,Park Tree
32744,Acer,Red Maple,3,Park Tree
52776,Acer,Red Maple,7.099999905,Park Tree
1699,Acer,Norway maple,5,Park Tree
2773,Acer,Hedge Maple,1,Park Tree
11496,Acer,Norway maple,7,Park Tree
11617,Acer,Norway maple,19,Park Tree
11594,Acer,Norway maple,18,Park Tree
16016,Acer,Red Maple,6,Park Tree
30925,Acer,Norway maple,18,Park Tree
16375,Acer,Red Maple,6,Park Tree
55444,Acer,Norway maple,13.30000019,Park Tree
26016,Acer,sugar maple,10,Park Tree
13461,Acer,Red Maple,12,Park Tree
16188,Acer,Red Maple,6,Park Tree
2756,Acer,Red Maple,14,Park Tree
2755,Acer,Red Maple,12,Park Tree
26018,Acer,Red Maple,25,Park Tree
32728,Acer,Red Maple,4,Park Tree
22112,Acer,Red Maple,9,Park Tree
13657,Acer,Norway maple,28,Cemetery Tree
13564,Acer,Norway maple,30,Cemetery Tree
8677,Acer,Norway maple,26,Cemetery Tree
8609,Acer,sugar maple,30,Cemetery Tree
13504,Acer,sugar maple,22,Cemetery Tree
8907,Acer,Norway maple,13,Cemetery Tree
8883,Acer,sugar maple,6,Cemetery Tree
8478,Acer,sycamore maple,30,Cemetery Tree
13493,Acer,sugar maple,25,Cemetery Tree
8534,Acer,Norway maple,30,Cemetery Tree
8610,Acer,Norway maple,35,Cemetery Tree
8575,Acer,Norway maple,26,Cemetery Tree
8608,Acer,Norway maple,21,Cemetery Tree
13495,Acer,Norway maple,19,Cemetery Tree
13558,Acer,Norway maple,12,Cemetery Tree
14519,Acer,Red Maple,8,Cemetery Tree
14551,Acer,Red Maple,27,Cemetery Tree
8839,Acer,sugar maple,38,Cemetery Tree
13554,Acer,Norway maple,12,Cemetery Tree
8789,Acer,sugar maple,30,Cemetery Tree
8555,Acer,Norway maple,23,Cemetery Tree
8532,Acer,Norway maple,40,Cemetery Tree
8872,Acer,sugar maple,31,Cemetery Tree
8541,Acer,Norway maple,25,Cemetery Tree
8546,Acer,Norway maple,17,Cemetery Tree
8539,Acer,Norway maple,33,Cemetery Tree
14581,Acer,sugar maple,3,Cemetery Tree
8604,Acer,black maple,24,Cemetery Tree
10401,Acer,Red Maple,6,Cemetery Tree
8558,Acer,Norway maple,32,Cemetery Tree
