"sky_type","wavelength","intensity"
"starlight",349,1517170.825
"starlight",354,1539926.526
"starlight",362,1586466.97
"starlight",369,1658928.186
"starlight",376,1709065.159
"starlight",380,1813930.694
"starlight",384,1925230.612
"starlight",388,1868752.231
"starlight",392,1709065.159
"starlight",394,1634413.982
"starlight",397,1586466.97
"starlight",400,1760717.396
"starlight",402,1983415.912
"starlight",405,2234281.713
"starlight",407,2371373.706
"starlight",409,2234281.713
"starlight",411,2105115.176
"starlight",413,2105115.176
"starlight",415,2234281.713
"starlight",417,2301807.313
"starlight",420,2234281.713
"starlight",422,2168737.038
"starlight",428,2168737.038
"starlight",433,2201265.433
"starlight",435,2301807.313
"starlight",439,2443042.569
"starlight",443,2516877.446
"starlight",446,2479685.21
"starlight",449,2443042.569
"starlight",453,2479685.21
"starlight",458,2631834.773
"starlight",460,2592943.797
"starlight",464,2554627.519
"starlight",467,2592943.797
"starlight",471,2631834.773
"starlight",474,2631834.773
"starlight",477,2592943.797
"starlight",482,2671309.065
"starlight",486,2752042.728
"starlight",491,2671309.065
"starlight",495,2711375.423
"starlight",500,2835216.364
"starlight",503,2835216.364
"starlight",506,2711375.423
"starlight",509,2671309.065
"starlight",514,2752042.728
"starlight",521,2920903.717
"starlight",524,3009180.756
"starlight",527,2920903.717
"starlight",531,2920903.717
"starlight",535,3054314.775
"starlight",540,3100125.749
"starlight",542,3009180.756
"starlight",547,3290344.562
"starlight",549,3389787.031
"starlight",551,3241722.699
"starlight",553,3290344.562
"starlight",555,3597779.002
"starlight",556,4052832.179
"starlight",558,4703420.342
"starlight",559,5793366.911
"starlight",560,7030444.086
"starlight",560,8281394.017
"starlight",561,10508766.06
"starlight",562,12195704.6
"starlight",562,13335214.32
"starlight",563,14153441.98
"starlight",564,13335214.32
"starlight",564,11837932.58
"starlight",565,10049748.01
"starlight",566,8405604.766
"starlight",566,7135892.121
"starlight",567,5968456.995
"starlight",568,4565441.252
"starlight",569,3933938.681
"starlight",569,3818533.031
"starlight",571,4175318.937
"starlight",572,4497977.114
"starlight",574,4703420.342
"starlight",576,4565441.252
"starlight",579,4366024.887
"starlight",581,4431509.903
"starlight",584,4633917.269
"starlight",587,4845569.506
"starlight",589,5298316.906
"starlight",589,5968456.995
"starlight",590,7135892.121
"starlight",591,8405604.766
"starlight",592,9901241.539
"starlight",592,11490656.12
"starlight",594,12564289.4
"starlight",595,11837932.58
"starlight",596,10508766.06
"starlight",596,9328838.748
"starlight",597,8038451.833
"starlight",599,6334672.077
"starlight",599,5793366.911
"starlight",601,5458445.338
"starlight",603,5377785.159
"starlight",605,5142885.987
"starlight",607,4845569.506
"starlight",609,4565441.252
"starlight",613,4366024.887
"starlight",618,4301507.551
"starlight",624,4301507.551
"starlight",627,4845569.506
"starlight",630,6148838.741
"starlight",632,7351556.686
"starlight",633,8038451.833
"starlight",634,8531678.524
"starlight",635,8281394.017
"starlight",636,7687335.97
"starlight",639,6334672.077
"starlight",640,5540315.32
"starlight",642,4845569.506
"starlight",643,4431509.903
"starlight",645,4175318.937
"starlight",648,4301507.551
"starlight",650,4366024.887
"starlight",655,4431509.903
"starlight",657,4703420.342
"starlight",659,4918247.103
"starlight",661,4703420.342
"starlight",665,4175318.937
"starlight",669,3818533.031
"starlight",673,3762106.057
"starlight",680,3762106.057
