Colony,BeeID,Pollen,ITS,Nectar
57,B91,0,4.03,0.00027
41,838E52010B000000,0.00153,2.87,0.00033
41,798C52010B000000,0.02089,3.19,0.00035
57,B58,0.00034,3.07,0.00063
58,G49,0,3.42,0.00065
32,R24,0.02855,3.86,0.00114
58,G31,0,4.34,0.00132
57,B59,0,3.61,0.00155
57,B53,0,3.71,0.00196
57,B79,0,4.01,0.00246
58,O29,0,4.67,0.00287
58,G62,0,3.32,0.00296
57,B3,0,3.88,0.00297
41,8A8E52010B000000,0.01433,3.21,0.00297
2,Y63,0.00763,4.05,0.00298
35,508D52010B000000,0,3.99,0.00306
43,W66,0,3.37,0.00314
32,O87,0,3.97,0.00316
57,B69-OT,0,3.24,0.00326
57,B84-OT,0.01376,3.41,0.00333
41,5E8C52010B000000,0.01025,3.65,0.00364
57,B17-OT,0.00309,3.84,0.00384
57,B75,0.01786,3.67,0.00398
41,3B8D52010B000000,0.01063,3.53,0.004
32,R.O-R,0,4,0.00414
35,AA8E52010B000000,0.00096,3.99,0.00452
2,Y45,0,3.55,0.00458
57,B64,0,3.72,0.005
35,508D52010B000000,0,3.99,0.00511
32,O58,0.00563,4.36,0.00532
57,B75,0.02291,3.67,0.00544
32,O32,0,3.88,0.00582
2,Y23,0.00255,3.23,0.00588
57,B68-GT,0,3.84,0.00607
57,B59,0,3.61,0.00628
41,648D52010B000000,0.00182,3.42,0.0063
2,Y74,0,3.73,0.00648
57,B64,0.01,3.56,0.00686
35,67AC52010B000000,0,3.58,0.0069
57,B33,0.02444,3.89,0.00708
41,FD9D52010B000000,0.0077,4.92,0.00713
57,B81,0.01696,3.39,0.00717
2,Y6,0,3.45,0.00752
41,66AC52010B000000,0,3.56,0.00781
43,W56,0.00094,3.8,0.00818
58,G38,0,3.62,0.00838
41,9F9B52010B000000,0.00248,4.16,0.00841
43,W24-GT,0,3.26,0.00841
58,G9,0.00213,4.36,0.00851
41,908E52010B000000,0,3.39,0.00879
32,O20,0.00345,3.83,0.00893
2,Y54,0.00323,3.88,0.00905
2,R3,0,4.26,0.0092
43,W70-GT,0,2.96,0.00921
41,678D52010B000000,0,4.14,0.00936
58,G14,0,4.1,0.00942
2,Y42,0,4.48,0.00975
32,O9,0.02023,3.88,0.00975
2,Y27,0.01388,3.84,0.00989
58,O9,0,3.88,0.00991
2,Y98-WT,0.00232,3.66,0.00991
2,Y8,0.00373,3.84,0.00993
32,O87,0,3.97,0.00999
57,B33,0,3.67,0.01011
32,O86,0,4.37,0.01029
2,Y49,0,3.82,0.01049
57,B3,0,3.88,0.01051
43,W42-GT,0,3.14,0.01056
41,838E52010B000000,0.0011,2.87,0.01063
32,R4,0.00118,4.22,0.01085
57,B94,0,4.32,0.01086
57,B59,0,3.61,0.01095
43,W60,0,3.66,0.01103
2,Y52,0,3.46,0.01131
2,Y68,0,3.64,0.01147
41,478D52010B000000,0,3.58,0.01172
2,Y32,0.01146,3.89,0.01181
57,B58,0.00475,3.07,0.01183
57,B40-OT,0,3.69,0.01184
43,W29-GT,0,3.11,0.01207
41,3B8D52010B000000,0.0064,3.53,0.01208
57,B58,0.00427,3.07,0.01209
57,B71,0,3.7,0.01245
57,B59,0,3.39,0.01257
43,W58,0,3.81,0.01268
32,O15,0.00266,4.44,0.01271
43,W18,0,4.19,0.01317
35,7FAC52010B000000,0,3.06,0.01324
35,DCAC52010B000000,0,4,0.01329
41,AB8E52010B000000,0.02215,3.79,0.01345
41,F8AB52010B000000,0,3.43,0.01378
57,B73,0,3.91,0.01401
43,W57-GT,0,3.28,0.01416
57,B15-OT,0.01909,4.05,0.01417
41,B28F52010B000000,0,2.8,0.01419
35,C28F52010B000000,0.01602,4,0.01437
43,W53,0,3.81,0.01445
43,W64,0,3.46,0.0145
57,B63,0,3.59,0.0147
41,CAAC52010B000000,0,3.91,0.01495
57,B71,0.01421,3.7,0.01498
2,Y30,0,3.72,0.01526
57,B10-OT,0.03821,4.4,0.01546
41,3B8D52010B000000,0,3.53,0.01551
57,B65,0,3.3,0.01559
41,F59D52010B000000,0.00998,3.62,0.01566
43,W57,0,3.86,0.0157
57,B73,0,3.91,0.01585
57,B77,0,3.66,0.01585
32,O86,0,4.37,0.01589
43,W68,0,3.96,0.01635
41,8B9B52010B000000,0,3.4,0.0164
41,6F8E52010B000000,0,3.78,0.01659
57,B87,0.00898,4.41,0.01661
57,B10-OT,0.02554,4.4,0.01674
43,W18,0,4.19,0.01678
57,B28-OT,0,3.93,0.01679
58,G8,0,4.5,0.01731
41,26AD52010B000000,0,3.18,0.01742
43,W93,0,3.22,0.01743
41,848E52010B000000,0,3.12,0.01752
35,D79C52010B000000,0,3.81,0.01811
57,B57-OT,0,3.25,0.01817
41,E5AC52010B000000,0,3.31,0.01832
57,B1,0,3.81,0.01849
57,B20,0.0064,4.55,0.01861
57,B64,0,3.72,0.01861
43,W66,0,3.37,0.01873
57,B8-OT,0,3.91,0.0188
35,EAAC52010B000000,0,3.94,0.01892
57,B35,0,3.68,0.01903
43,W43-GT,0,3.24,0.01943
43,W54,0,3.72,0.01944
57,B25-OT,0.01326,3.77,0.01952
57,B9-OT,0,3.75,0.01963
57,B67,0,3.66,0.01994
43,W24,0,4.06,0.02011
35,D89C52010B000000,0,3.57,0.02012
43,W89,0.01927,3.46,0.02052
2,Y43,0,3.52,0.02068
43,W81,0.00477,3.64,0.02072
43,W69-GT,0,3.45,0.02084
32,Y14,0.00759,4.18,0.02092
58,G17,0,4.36,0.02093
43,W33-GT,0,3.03,0.02106
43,W40,0,4.4,0.02109
43,W38,0,4.26,0.02142
43,W27,0,4.15,0.02142
2,Y63-OB,0,4.03,0.02145
35,BB8F52010B000000,0,4.01,0.02146
43,W62,0,3.44,0.02168
41,6AA152010B000000,0,4.11,0.02172
32,O86,0,4.37,0.02201
57,B24,0.00083,4.36,0.02209
41,AB8E52010B000000,0,3.79,0.0222
35,958E52010B000000,0.00938,3.66,0.02246
57,B64,0,3.72,0.02261
41,A9AC52010B000000,0,3.51,0.02271
43,W64,0,3.46,0.02273
35,D79C52010B000000,0,3.81,0.02275
32,O10,0.0246,4.05,0.02276
43,W59,0.00247,3.57,0.0228
41,56AC52010B000000,0.00613,3.38,0.0229
41,849B52010B000000,0,3.56,0.02305
43,W13,0,4.07,0.02314
41,988F52010B000000,0,3.28,0.02331
43,W38,0.00275,4.26,0.02335
35,0B9E52010B000000,0,4.46,0.02347
2,Y79,0,4.2,0.02362
41,8B9B52010B000000,0,3.4,0.02402
32,Y14,0,3.99,0.02404
41,F39D52010B000000,0.00237,3.78,0.0242
57,B58,0,3.07,0.02437
57,B53,0,3.63,0.02443
43,W40,0,4.4,0.02463
41,66AC52010B000000,0,3.56,0.02476
57,B83-GT,0.00779,3.26,0.02489
41,9C8E52010B000000,0,3.26,0.02546
57,B53,0,3.63,0.02547
41,958F52010B000000,0,3.18,0.0255
43,W58,0.01375,3.81,0.02573
43,W52,0,3.9,0.02574
32,O98,0,4.03,0.02577
41,F39D52010B000000,0,3.78,0.02584
35,978E52010B000000,0,4.22,0.02589
57,B35,0.0062,3.68,0.02597
43,W64-GT,0,3.34,0.02608
57,B96,0,4.17,0.0263
43,W24,0.0021,4.06,0.02633
32,O32,0,3.88,0.02634
41,8FAC52010B000000,0.0014,3.12,0.02656
57,B98,0,3.72,0.02662
32,R41,0,4.24,0.02663
43,W54,0,3.72,0.02672
57,B40-OT,0,3.69,0.02687
35,688C52010B000000,0,3.59,0.02707
41,69AC52010B000000,0,3.44,0.02714
41,969B52010B000000,0,3.78,0.02721
35,C68F52010B000000,0,3.63,0.02733
57,B65,0,3.3,0.02734
57,B33,0,3.67,0.02735
58,G33,0,3.77,0.02742
57,B65,0,3.3,0.0275
57,B71,0,3.7,0.02759
43,W52,0,3.9,0.02778
32,O17,0,3.45,0.02779
43,W16,0,4.07,0.02792
58,O40,0,4.93,0.02792
57,B91-GT,0,3.34,0.02794
57,B24-OT,0,2.97,0.02797
43,W62,0,3.44,0.0282
35,918F52010B000000,0.00538,3.68,0.02827
57,B12-OT,0,3.68,0.02834
41,F3AC52010B000000,0,3.56,0.02838
41,AA8F52010B000000,0,3.07,0.02852
41,AC8E52010B000000,0.00045,3.87,0.02856
32,R-WT,0.00409,4.14,0.02858
57,B74,0,4.05,0.02864
58,G7,0,4.27,0.02866
58,G33,0,3.77,0.0287
41,478D52010B000000,0,3.58,0.02877
57,B88,0,4.07,0.02877
41,66AC52010B000000,0,3.56,0.02885
32,O5,0,4.96,0.0289
43,W71,0,3.73,0.02893
41,958F52010B000000,0,3.18,0.02896
57,B49,0,4.02,0.02931
35,688C52010B000000,0.00455,3.59,0.02933
41,758C52010B000000,0.00406,3.15,0.02934
32,R.W-T,0.00088,4.14,0.02936
57,B60-OT,0.01683,3.47,0.02939
57,B27-OT,0.0043,3.62,0.02962
57,B68-GT,0,3.84,0.02971
57,B10-OT,0.02782,4.4,0.02978
2,Y94-WT,0,3.78,0.02978
2,Y79,0,4.2,0.02995
57,B70,0.00494,3.68,0.03011
2,Y63-OB,0,4.03,0.03016
57,B67,0,3.66,0.03029
41,F8AB52010B000000,0,3.43,0.03037
2,Y50,0,3.89,0.03056
57,B32,0,4.31,0.03061
57,B70,0,3.68,0.03062
43,W20-GT,0,3.31,0.03063
58,G12,0.0018,3.96,0.0307
43,W74,0,3.49,0.03072
57,B46,0.00835,4.12,0.03085
57,B67,0,3.66,0.03088
58,Y78-WT,0,3.03,0.03093
35,5F9752010B000000,0.00249,3.34,0.03104
2,Y59-WT,0,3.65,0.03122
43,W34,0,3.98,0.03149
41,8B9B52010B000000,0,3.4,0.03156
2,Y28,0.01144,3.7,0.0317
57,B73,0,3.91,0.03174
32,R.W-R,0,4.33,0.03176
35,C28F52010B000000,0.01356,4,0.03202
2,Y32,0.0231,3.89,0.03217
57,B82-OT,0,3.64,0.03232
35,DBAC52010B000000,0,3.87,0.03235
2,Y41,0,3.62,0.03237
41,99AC52010B000000,0,3.6,0.03237
57,B57,0,3.9,0.03249
35,DEAC52010B000000,0,3.74,0.03255
41,66AC52010B000000,0,3.56,0.03284
41,298D52010B000000,0.00151,3.68,0.03295
43,W66-GT,0,3.49,0.03312
35,C28F52010B000000,0.00703,4,0.03325
43,W24,0,4.06,0.03332
43,W73,0,3.47,0.0337
2,Y29,0,3.65,0.03378
2,Y78,0,3.88,0.03385
32,R.O-L,0,3.92,0.03391
57,B91,0.00455,4.03,0.03397
43,W57,0,3.86,0.03402
41,898E52010B000000,0,3.42,0.03405
57,B74,0,4.05,0.03418
2,Y92,0,4.11,0.03422
35,7F8E52010B000000,0,4.1,0.03438
57,B92,0.00072,4.12,0.0344
43,W63,0,4.06,0.03472
57,B90,0,4.06,0.03493
41,F4AC52010B000000,0,4.06,0.03494
43,W34,0,3.98,0.03511
2,Y49,0,3.82,0.03512
2,Y36,0,3.54,0.03529
57,B95,0,3.39,0.03549
2,Y51,0,3.84,0.03572
57,B90,0,4.06,0.03575
43,W52,0,3.9,0.03576
43,W60,0,3.66,0.03578
2,Y73-WT,0,3.24,0.03597
57,B86,0,4.19,0.03621
57,B64,0,3.72,0.03642
35,6A8C52010B000000,0,3.55,0.03647
35,629752010B000000,0,3.82,0.03656
35,629652010B000000,0,3.6,0.03658
22,Y16,0,3.53,0.03659
58,G40,0,3.92,0.03668
2,Y44,0.01855,3.95,0.03668
57,B63-OT,0.00166,3.65,0.03673
57,B70,0.00388,3.68,0.0368
57,B43,0,4,0.03687
57,B9-OT,0,3.75,0.03726
35,799752010B000000,0,3.35,0.0373
35,70AC52010B000000,0,3.78,0.03735
58,G55,0.004,3.68,0.03737
57,B73,0,3.91,0.03739
32,O21,0,3.62,0.03754
2,O27,0,,0.03767
57,B47,0,3.55,0.0378
57,B45,0.00065,3.77,0.0379
57,B35,0,3.68,0.03816
57,B55-OT,0,3.49,0.03827
43,W87,0,3.64,0.0383
57,B96,0,4.17,0.03853
58,G77,0,3.57,0.03854
41,5BAC52010B000000,0,3.18,0.03877
57,B67,0,3.66,0.039
35,DB9D52010B000000,0.00221,3.85,0.03922
41,06AC52010B000000,0,3.71,0.03932
2,Y78,0,3.88,0.0396
57,B96,0,4.17,0.03968
