TreeID,Genus,species,CommonName,diameter,Location
15965,Acer,rubrum,Red Maple,8,Park Tree
24098,Acer,rubrum,Red Maple,1.799999952,Park Tree
40184,Acer,rubrum,Red Maple,14,Park Tree
16216,Acer,rubrum,Red Maple,6,Park Tree
13346,Acer,rubrum,Red Maple,12,Park Tree
24100,Acer,rubrum,Red Maple,2,Park Tree
17104,Acer,rubrum,Red Maple,1.799999952,Park Tree
29819,Acer,rubrum,Red Maple,21.799999239999998,Park Tree
50295,Acer,rubrum,Red Maple,15,Park Tree
13429,Acer,rubrum,Red Maple,11,Park Tree
16187,Acer,rubrum,Red Maple,4,Park Tree
16566,Acer,rubrum,Red Maple,6,Park Tree
16315,Acer,rubrum,Red Maple,5,Park Tree
22010,Acer,rubrum,Red Maple,3,Park Tree
16098,Acer,rubrum,Red Maple,8,Park Tree
15800,Acer,rubrum,Red Maple,5,Park Tree
16346,Acer,rubrum,Red Maple,6,Park Tree
32690,Acer,rubrum,Red Maple,2,Park Tree
17108,Acer,rubrum,Red Maple,3.5,Park Tree
113303,Acer,rubrum,Red Maple,9.300000191,Park Tree
32688,Acer,rubrum,Red Maple,5,Park Tree
22119,Acer,rubrum,Red Maple,10,Park Tree
15888,Acer,rubrum,Red Maple,6,Park Tree
15973,Acer,rubrum,Red Maple,8,Park Tree
15218,Acer,rubrum,Red Maple,2,Park Tree
16541,Acer,rubrum,Red Maple,6,Park Tree
16529,Acer,rubrum,Red Maple,8,Park Tree
32734,Acer,rubrum,Red Maple,3,Park Tree
48630,Acer,rubrum,Red Maple,9.800000191,Park Tree
32721,Acer,rubrum,Red Maple,4,Park Tree
7925,Acer,rubrum,Red Maple,7,Street Tree
994,Acer,rubrum,Red Maple,6,Street Tree
5152,Acer,rubrum,Red Maple,7,Street Tree
470,Acer,rubrum,Red Maple,13.600000380000001,Street Tree
221,Acer,rubrum,Red Maple,23.25,Street Tree
9214,Acer,rubrum,Red Maple,5.650000095,Street Tree
11847,Acer,rubrum,Red Maple,21,Street Tree
11896,Acer,rubrum,Red Maple,9,Street Tree
7567,Acer,rubrum,Red Maple,11.75,Street Tree
7565,Acer,rubrum,Red Maple,11.69999981,Street Tree
23048,Acer,rubrum,Red Maple,6.449999809,Street Tree
4627,Acer,rubrum,Red Maple,5,Street Tree
23080,Acer,rubrum,Red Maple,9.600000381,Street Tree
9731,Acer,rubrum,Red Maple,3,Street Tree
98943,Acer,rubrum,Red Maple,2.25,Street Tree
10078,Acer,rubrum,Red Maple,3.1500000950000002,Street Tree
21688,Acer,rubrum,Red Maple,7.599999905,Street Tree
1274,Acer,rubrum,Red Maple,3,Street Tree
22846,Acer,rubrum,Red Maple,5.300000191,Street Tree
12328,Acer,rubrum,Red Maple,3.9000000950000002,Street Tree
7362,Acer,rubrum,Red Maple,12.30000019,Street Tree
10345,Acer,rubrum,Red Maple,6,Street Tree
52259,Acer,rubrum,Red Maple,2.25,Street Tree
149003,Acer,rubrum,Maple,1.5,Street Tree
60739,Acer,rubrum,Red Maple,3,Street Tree
7232,Acer,rubrum,Red Maple,8.100000381,Street Tree
4799,Acer,rubrum,Red Maple,6,Street Tree
4837,Acer,rubrum,Red Maple,2.0999999049999998,Street Tree
3683,Acer,rubrum,Red Maple,4.050000191,Street Tree
2689,Acer,rubrum,Red Maple,14,Street Tree
